step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,1.0,0.0,0.0,0.6,34.30685935032765,999.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0605,0.0,0.0,0.0,0.06,0.0005,0.0,0.0,0.0,0,htt_only,scenario_0_no_jammer_calibrated
1.0,1.0,0.0,0.0,1.4,35.30685935032765,999.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14049999999999999,0.0,0.0,0.0,0.13999999999999999,0.0005,0.0,0.0,0.0,0,htt_only,scenario_0_no_jammer_calibrated
2.0,1.0,0.0,0.0,2.2,36.30685935032765,999.8500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22050000000000003,0.0,0.0,0.0,0.22000000000000003,0.0005,0.0,0.0,0.0,0,htt_only,scenario_0_no_jammer_calibrated
3.0,1.0,0.0,0.0,2.2,37.30685935032765,999.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22050000000000003,0.0,0.0,0.0,0.22000000000000003,0.0005,0.0,0.0,0.0,0,htt_only,scenario_0_no_jammer_calibrated
4.0,0.0,2.0,0.0,2.4,36.30685935032765,999.7500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.5994999999999981,2.0,0.0,0.0,0.24,0.0005,0.0,0.0,0.16000000000000203,0,htt_only,scenario_0_no_jammer_calibrated
5.0,1.0,0.0,0.0,2.6,37.30685935032765,999.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-0.42050000000000204,0.0,0.0,0.0,0.26,0.0005,0.0,0.0,0.16000000000000203,0,htt_only,scenario_0_no_jammer_calibrated
6.0,0.0,2.0,0.0,2.8,36.30685935032765,999.6500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.5594999999999994,2.0,0.0,0.0,0.27999999999999997,0.0005,0.0,0.0,0.1600000000000005,0,htt_only,scenario_0_no_jammer_calibrated
7.0,1.0,0.0,0.0,3.4,37.30685935032765,999.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,-0.5005000000000005,0.0,0.0,0.0,0.34,0.0005,0.0,0.0,0.1600000000000005,0,htt_only,scenario_0_no_jammer_calibrated
8.0,0.0,1.0,0.0,3.2,36.30685935032765,999.5500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.5194999999999996,1.0,0.0,0.0,0.32000000000000006,0.0005,0.0,0.0,0.16000000000000034,0,htt_only,scenario_0_no_jammer_calibrated
9.0,0.0,2.0,0.0,3.0,35.30685935032765,999.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,2.0,1.5670862068965512,2.0,0.0,0.0,0.30000000000000004,0.0005,0.0,0.0,0.13241379310344875,0,htt_only,scenario_0_no_jammer_calibrated
